rang,count
300000.0,4
27083.333333333332,5
60000.0,2
21666.666666666668,2
23750.0,2
31666.666666666668,1
28333.333333333332,1
7200.0,1
22916.666666666668,9
27083.333333333332,29
325000.0,1
29166.666666666668,6
25000.0,1
27083.333333333332,1
28750.0,1
27500.0,1
30416.666666666668,2
8400.0,2
3250.0,38
3650.0,1
37000.0,1
3800.0,1
3900.0,6
3500.0,82
4200.0,4
42500.0,4
4300.0,11
4450.0,4
40000.0,237
5250.0,1
5000.0,33
55000.0,1
6450.0,1
6000.0,14
37500.0,2
36000.0,1
4350.0,3
4500.0,1
4000.0,32
37500.0,4
4500.0,73
50000.0,1
6000.0,1
5750.0,38
4150.0,2
27500.0,1
29166.666666666668,246
350000.0,1
31250.0,5
41666.666666666664,1
45833.333333333336,1
333333.3333333333,2
30416.666666666668,1
33333.333333333336,5
43750.0,1
4150.0,1
4800.0,1
4950.0,4
4500.0,115
5250.0,20
4166.666666666667,3
50000.0,41
5750.0,10
6000.0,952
5300.000000000001,1
5100.0,1
6000.0,16
6250.0,137
5625.0,1
5300.0,1
6400.0,1
6950.0,1
45833.333333333336,3
50000.0,5
56666.666666666664,1
7083.333333333333,3
5600.0,2
5750.0,28
5500.0,170
5000.0,3
60000.0,68
6500.0,1119
7100.0,2
70000.0,1
6600.0,1
6200.0,3
6000.0,8
5750.0,2
6750.0,20
6500.0,1
6350.0,1
61999.99999999999,1
5950.0,2
62500.0,5
50000.0,6
54166.666666666664,9
15000.0,6
6666.666666666667,15
80000.0,3
8750.0,9
6250.0,3
6500.0,42
7450.0,4
5833.333333333333,82
70000.0,1
7500.0,435
7250.0,21
8000.0,4
75000.0,2
